1,Anubhav raj,"Agra, Uttar Pradesh",anubhavraj729@gmail.com,linkedin.com/in/anubhav-29,0,,experience,Siddaganga Institute of Technology Tumkuru        ,Bachelor of Engineering / Bachelor of Technology ,2020-2024,cn,cd,"MySQL,PostgreSQL
","Bash/Shell/PowerShell,C++,Perl","Confluence,Jira,Github,Google Suite (Docs, Meet, etc)
",Linux-based,"Android,iOS,Windows",har,hard
2,Harshit  Mishra,"Ahmedabad, Gujarat",harshit@sit.ac.in,linkedin.com/in/harshit-mishra-b72796209,0, I am currently working with a Casino based operator(name not to be disclosed) in Macau.I need to segment the customers who visit their property based on the value the patrons bring into the company.Basically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it up.Henceforth they can implement target marketing strategy to attract their customers who add value to the business.,"i have vary experience
",Siddaganga Institute of Technology Tumkuru        ,b.tech,2018-2022,kdhah,cdkjkhfajkhkk,"Couchbase,Elasticsearch,MariaDB,MongoDB,Redis","C#,HTML/CSS,JavaScript,SQL",,Windows,"Android,iOS,Windows
",har,hard
3,Rudra y,"Ajmer, Rajasthan",rudra3@gmail.com,linkedin.com/in/rudra-01,0,"While all of these items are part of a successful job search, I want to know what you think is the most important element.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2015-2019,,,"MySQL,PostgreSQL","C++,Javascript","Confluence,Jira,Github,Google Suite (Docs, Meet, etc)",Linux-based,Linux,,
4, Kabir J,"Allahabad, Uttar Pradesh",kabir9@gmail.com,linkedin.com/in/kabir12,0,"My engineering days has helped me to gain exposure to multiple cemical engineering research areas and catalised me to evolve as an individual with the blend of knowledge in simulation,waste management and analytical techniques",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2016-2020,,,SQLite,"Objective-C,Swift","Github,Slack",MacOS,"Android,iOS,Windows",,
5,Arjun,"Amaravati, Maharashtra",rarjun@gmail.com,linkedin.com/in/arjun,0,I am currently an artificial intelligence and data science engineering undergraduate at SIT,,Siddaganga Institute of Technology Tumkuru        ,b.tech,2018-2022,,,MySQL,"Java,JavaScript,Python","Confluence,Jira,Github,Slack",Windows,"Android,Docker,Linux,MacOS,Windows",,
6,Shivay,"Amritsar, Punjab",shivay7@gmail.com,linkedin.com/in/shivay,0,"Core member of a team helped in developing automated review platform tool from scratch for assisting E discovery domain, this tool implements predictive coding and topic modelling by automating reviews, resulting in reduced labor costs and time spent during the lawyers review.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2015-2019,,,MySQL,"HTML/CSS,Java,JavaScript,PHP,SQL","Gitlab,Slack",Linux-based,"Android,Docker,Heroku,Linux,MacOS",,
7,Vihan,"Baramula, Jammu and Kashmir",vihan01@gmail.com,linkedin.com/in/vihan-31,0," Understand the end to end flow of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data. Worked on analyzing the outputs and precision monitoring for the entire tool.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2016-2020,,,"MongoDB,MySQL","HTML/CSS,JavaScript,TypeScript","Slack,Trello,Google Suite (Docs, Meet, etc)",MacOS,"AWS,Docker,Heroku,MacOS",,
8,Aarav,"Bengaluru, Karnataka",aarav@gmail.com,linkedin.com/in/aarav-01,0,"Taking responsibility for the quality of a company product. Working with the departmental manager, production staff and suppliers to ensure quality, they aim to minimize the cost of reworking or waste and maximize customer satisfaction with the product.
",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2013-2017,,,"MongoDB,PostgreSQL,SQLite","Bash/Shell/PowerShell,C++,HTML/CSS,JavaScript,Python,SQL,TypeScript","Jira,Github,Slack,Google Suite (Docs, Meet, etc),Stack Overflow for Teams",MacOS,"Arduino,Heroku,Linux,MacOS",,
9,Agastya,"Bhatpara, West Bengal",agasthya@gmail.com,linkedin.com/in/agashya,0,I'm a software test engineer working at Maxgen technologies from past 1 year.,,Siddaganga Institute of Technology Tumkuru        ,b.tech,2018-2022,,,"DynamoDB,MongoDB,MySQL","HTML/CSS,JavaScript,PHP,SQL,TypeScript","Github,Slack,Trello,Google Suite (Docs, Meet, etc)",Windows,AWS,,
10,Veda,"Bhopal , Madhya Pradesh",veda3@gmail.com,linkedin.com/in/veda-42,0,Organizations to make informed decisions about all of the information they store. The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk.,,Siddaganga Institute of Technology Tumkuru        ,b.tech,2013-2017,,,"IBM DB2,MariaDB,MySQL","Bash/Shell/PowerShell,HTML/CSS,Python","Jira,Github",Linux-based,"Linux,MacOS,Windows",,
11,Sumalatha,"Bikaner, Rajasthan",sumalatha90@gmail.com,linkedin.com/in/sumalatha,0,"I have developed a passion for not only being the voice of those that cannot communicate for themselves, but also teaching people to communicate effectively. In recruiting I am able to do this, by helping people acknowledge the potential within themselves and be able to communicate that effectively to hiring managers. I am able to communicate with people from all walks life that all have one thing in common, they NEED A JOB. ",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2016-2020,,,PostgreSQL,"Python,R,Scala","Confluence,Jira,Github,Slack,Google Suite (Docs, Meet, etc)",MacOS,"AWS,Google Cloud Platform,iOS,Linux,MacOS,Windows",,
12,Shankar,"Chandigarh , Chandigarh",shankaru@gmail.com,linkedin.com/in/shankar,0,"I love to dig into customer problems and solve them with modern technology. I create, scale and optimize business portfolios that matter. To accomplish this, I focus on delivering key outcomes, building amazing teams and quickly adapting to new learnings. ",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2014-2018,,,"MySQL,Oracle,PostgreSQL","HTML/CSS,Java,JavaScript,SQL","Confluence,Jira",Windows,Windows,,
13,Suchitra,"Chennai, Tamil Nadu ",suchii@gmail.com,linkedin.com/in/suchitra,0,"I have enjoyed many executive positions throughout my career in product management, product marketing, technical sales, engineering, and strategy. ",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2018-2022,,,Firebase,"HTML/CSS,JavaScript,TypeScript",Github,Linux-based,"Linux,Windows",,
14,Ramya shree,"Coimbatore, Tamil Nadu ",ramya4@gmail.com,linkedin.com/in/ramya-05,0,I can successfully scale up software businesses from $5M to $1B in revenue.I put the customer at the center of all that I do.I excel at the execution of big ideas with given constraints. My gut instinct is good but I seek data for my decisions,,Siddaganga Institute of Technology Tumkuru        ,b.tech,2016-2020,,,"Couchbase,Elasticsearch,MariaDB,MongoDB,Redis","HTML/CSS,Java,JavaScript,TypeScript","Jira,Github,Gitlab,Slack,Trello",Linux-based,"AWS,Docker,Heroku,Kubernetes",,
15,Akash M,"Delhi, Delhi",akashm@gmail.com,linkedin.com/in/akash,0,"I can align, lead and grow world-class product teams from 10 to 100 people.I love to win, but helping the team win gives me greater joy. I speak tech and exec .I tell great narratives that motivate ",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2017-2021,,,PostgreSQL,"Java,Kotlin","Gitlab,Microsoft Teams",MacOS,Android,,
16,Triveni,"Dhanbad, Jharkhand",triveni6@gmail.com,linkedin.com/in/triveni,0,"I love applying responsive design principles and watching my web pages shrink into mobile screens and still look amazing. It's oddly satisfying. I think in a way I'm kind of like those web pages; I'm moldable, but I still keep my creative flare intact.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2013-2017,,,"Elasticsearch,Firebase,MongoDB,MySQL,Redis,SQLite","HTML/CSS,JavaScript,Ruby,TypeScript","Jira,Github",Linux-based,"Android,Google Cloud Platform,Heroku,Kubernetes,Linux,MacOS",,
17,Nayana,"Ghandinagar, Gujarat",nayana23@gmail.com,linkedin.com/in/nayana,0,"I specialise in IT recruitment for global companies. I have experience in the whole recruitment cycle, talent acquisition, client management, career development and assessment centres. With my ability to build strong relationships, great communication skills, passion for candidate care and years of experience in sourcing, I succeed in attracting and hiring great talent.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2015-2019,,,"Elasticsearch,PostgreSQL","Go,Rust,Scala,SQL","Confluence,Jira,Github,Google Suite (Docs, Meet, etc)",MacOS,"AWS,Docker,Linux,MacOS",,
18,Shiva N,"Hyderabad, Telangana",shivan@gmail.com,linkedin.com/in/shiva-51,0,"Starting my career in Human Resources seemed like a mismatch at first given my B.Sc. in Computer Science. However, I immediately recognised the opportunity it presented, to understand the most important asset of any organisation; the people. I was privileged to harness diverse views and opinions to create solutions that foster productivity.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2018-2022,,,"Firebase,MongoDB,MySQL","HTML/CSS,JavaScript,TypeScript","Jira,Github,Stack Overflow for Teams",Windows,Android,,
19,Harshitha,"Indore, Madhya Pradesh",harshitha@gmail.com,linkedin.com/in/harshitha,0,"I am looking for opportunities in small businesses that could be more successful with efficient management. With the right resources and team members, I can bring struggling companies back from the brink.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2016-2020,,,"Couchbase,MongoDB","C++,Go,HTML/CSS,Java,JavaScript,Python","Gitlab,Google Suite (Docs, Meet, etc)",Linux-based,"Docker,Linux,MacOS,Windows",,
20,Shashank C,"Jaipur, Rajasthan",shashank@gmail.com,linkedin.com/in/shashank,0,"I’ve always been a big people person who loves making new friends. As a real estate agent, this skill proves invaluable, enabling me to develop broad networks of contacts and maximise client satisfaction.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2014-2018,,,"MongoDB,PostgreSQL","Go,HTML/CSS,Python","Confluence,Jira,Github,Gitlab",Linux-based,"Docker,Linux",,
21,Bhanushree,"Jammu, Jammu and Kashmir",bhanu@gmail.com,linkedin.com/in/bhanu-92,0,"My studies have provided me with broad proficiency in the use of mechanical engineering methods, tools, software packages and techniques. Alongside this, I have developed sound communication skills while delivering presentations to large audiences at university. As such, I am confident that I can make an instant impact in engineering roles.",,Siddaganga Institute of Technology Tumkuru        ,b.tech,2013-2017,,,"Firebase,MongoDB,MySQL","HTML/CSS,JavaScript,TypeScript","Jira,Github,Gitlab,Slack,Microsoft Teams,Microsoft Azure",Windows,Microsoft Azure,,
